2151-5520	21h51m29s	-55d20m18s	10040	10083	15.1	1812	0.503333333	0.038783	0.0000302	0.0000368	40	337	175	610	720	100
2144-5637	21h44m00s	-56d37m21s	10040	10083	4.58	549.6	0.152666667	0.081943	0.0000309	0.0000598	150	38	32	240	243	100
#2154-5029	21h53m36s	-50d28m54s	10043	10635	2	240	0.066666667	NaN	0.0000327	0.0000519	50	12	19	111	102	NaN
#2200-5611	22h00m24s	-56d10m42s	10040	10083	2.62	314.4	0.087333333	0.075776	0.0000317	0.0000347	50	10	25	144	131	100
#2202-5453 	22h02m20s	-54d52m52s	10040	10083	4	480	0.133333333	NaN	0.0000829	0.0000339	50	69	61	176	231	NaN
2148-5714	21h48m24s	-57d13m51s	10035	10083	7.7	924	0.256666667	0.080639	0.0000327	NaN	80	90	90	370	420	100
#2148-5821	21h47m58s	-58d21m09s	10035	10083	4.9	588	0.163333333	NaN	0.000038	NaN	30	94	55	221	229	NaN
#2151-5741	21h50m58s	-57d40m45s	10035	10083	9.2	1104	0.306666667	NaN	0.0000307	NaN	50	132	200	456	459	NaN

